source,target,bleu,chrf++
bul_Cyrl,ces_Latn,23.659,52.573
ces_Latn,ces_Latn,100.0,100.0
dan_Latn,ces_Latn,21.922,50.646
deu_Latn,ces_Latn,22.595,51.315
ell_Grek,ces_Latn,23.583,52.044
eng_Latn,ces_Latn,31.048,59.071
spa_Latn,ces_Latn,23.697,52.592
est_Latn,ces_Latn,19.316,48.348
fin_Latn,ces_Latn,18.375,47.35
fra_Latn,ces_Latn,22.181,51.002
hun_Latn,ces_Latn,19.517,48.796
ita_Latn,ces_Latn,20.118,49.405
lit_Latn,ces_Latn,18.673,47.6
lvs_Latn,ces_Latn,19.774,48.707
nld_Latn,ces_Latn,19.91,48.642
pol_Latn,ces_Latn,21.246,50.453
por_Latn,ces_Latn,23.032,52.091
ron_Latn,ces_Latn,24.101,52.798
slk_Latn,ces_Latn,27.178,55.883
slv_Latn,ces_Latn,23.842,52.421
swe_Latn,ces_Latn,21.106,49.758
