source,target,bleu,chrf++
bul_Cyrl,eng_Latn,44.251,67.968
ces_Latn,eng_Latn,40.486,65.476
dan_Latn,eng_Latn,43.896,67.257
deu_Latn,eng_Latn,42.805,66.54
ell_Grek,eng_Latn,47.78,69.506
eng_Latn,eng_Latn,100.0,100.0
spa_Latn,eng_Latn,49.408,71.175
est_Latn,eng_Latn,35.615,61.855
fin_Latn,eng_Latn,35.342,61.493
fra_Latn,eng_Latn,43.438,67.125
hun_Latn,eng_Latn,35.797,62.517
ita_Latn,eng_Latn,39.267,64.369
lit_Latn,eng_Latn,33.818,60.526
lvs_Latn,eng_Latn,35.871,62.156
nld_Latn,eng_Latn,37.477,62.635
pol_Latn,eng_Latn,37.269,63.326
por_Latn,eng_Latn,46.836,69.584
ron_Latn,eng_Latn,47.862,70.581
slk_Latn,eng_Latn,41.403,66.258
slv_Latn,eng_Latn,41.441,66.173
swe_Latn,eng_Latn,41.624,65.5
