source,target,bleu,chrf++
bul_Cyrl,eng_Latn,46.53,69.311
ces_Latn,eng_Latn,43.159,67.277
dan_Latn,eng_Latn,45.726,68.513
deu_Latn,eng_Latn,44.767,67.757
ell_Grek,eng_Latn,49.397,70.541
eng_Latn,eng_Latn,100.0,100.0
spa_Latn,eng_Latn,51.412,72.282
est_Latn,eng_Latn,38.175,63.568
fin_Latn,eng_Latn,37.775,63.157
fra_Latn,eng_Latn,45.264,68.215
hun_Latn,eng_Latn,38.485,64.247
ita_Latn,eng_Latn,41.569,65.954
lit_Latn,eng_Latn,36.847,62.625
lvs_Latn,eng_Latn,38.674,64.075
nld_Latn,eng_Latn,39.05,63.678
pol_Latn,eng_Latn,39.765,64.878
por_Latn,eng_Latn,49.079,71.012
ron_Latn,eng_Latn,50.31,72.007
slk_Latn,eng_Latn,43.74,67.716
slv_Latn,eng_Latn,44.272,67.969
swe_Latn,eng_Latn,44.027,67.164
