source,target,bleu,chrf++
pbt_Arab,mag_Deva,22.357,49.609
bho_Deva,mag_Deva,38.973,64.525
nus_Latn,mag_Deva,7.953,30.837
ban_Latn,mag_Deva,17.554,43.337
dzo_Tibt,mag_Deva,9.268,31.98
mni_Beng,mag_Deva,15.951,41.523
lim_Latn,mag_Deva,21.494,48.255
ltg_Latn,mag_Deva,18.821,46.283
ace_Latn,mag_Deva,17.733,44.723
crh_Latn,mag_Deva,18.192,45.465
srd_Latn,mag_Deva,21.339,48.164
taq_Latn,mag_Deva,8.841,31.079
mri_Latn,mag_Deva,14.486,37.969
ary_Arab,mag_Deva,17.518,45.572
bam_Latn,mag_Deva,7.223,28.672
knc_Arab,mag_Deva,0.498,11.065
eng_Latn,mag_Deva,37.153,64.316
knc_Latn,mag_Deva,7.267,30.027
dik_Latn,mag_Deva,6.703,27.069
prs_Arab,mag_Deva,20.269,47.947
bjn_Arab,mag_Deva,8.412,32.38
vec_Latn,mag_Deva,23.253,50.603
fur_Latn,mag_Deva,22.7,49.444
kas_Deva,mag_Deva,13.471,38.026
kas_Arab,mag_Deva,27.733,55.056
arz_Arab,mag_Deva,19.875,46.835
lij_Latn,mag_Deva,21.312,48.54
ace_Arab,mag_Deva,6.504,29.886
bjn_Latn,mag_Deva,21.779,48.783
scn_Latn,mag_Deva,20.863,47.538
bug_Latn,mag_Deva,14.935,40.075
lmo_Latn,mag_Deva,21.442,48.798
szl_Latn,mag_Deva,21.571,48.544
hne_Deva,mag_Deva,35.158,62.495
fuv_Latn,mag_Deva,6.823,28.072
taq_Tfng,mag_Deva,6.24,28.148
shn_Mymr,mag_Deva,9.909,33.518
mag_Deva,mag_Deva,100.0,100.0
